25.44,17.93,10.21,2022-06-29 20:16:00.405084,broken clouds,15.09
25.44,17.96,10.21,2022-06-29 20:16:01.644591,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:02.493019,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:03.411642,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:05.512135,broken clouds,15.09
25.44,17.98,10.21,2022-06-29 20:16:06.369716,broken clouds,15.09
25.44,17.94,10.21,2022-06-29 20:16:07.180418,broken clouds,15.09
25.44,17.92,10.21,2022-06-29 20:16:08.535592,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:09.371957,broken clouds,15.09
25.44,17.91,10.21,2022-06-29 20:16:10.160787,broken clouds,15.09
25.44,17.99,10.21,2022-06-29 20:16:11.338710,broken clouds,15.09
25.44,17.95,10.21,2022-06-29 20:16:12.190490,broken clouds,15.09
25.44,17.91,10.21,2022-06-29 20:16:13.026582,broken clouds,15.09
25.44,17.92,10.21,2022-06-29 20:16:13.843638,broken clouds,15.09
25.44,17.94,10.21,2022-06-29 20:16:14.628333,broken clouds,15.09
25.44,17.90,10.21,2022-06-29 20:16:16.870103,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:17.958280,broken clouds,15.09
25.44,17.98,10.21,2022-06-29 20:16:18.775367,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:20.310516,broken clouds,15.09
25.44,17.96,10.21,2022-06-29 20:16:21.068555,broken clouds,15.09
25.44,17.91,10.21,2022-06-29 20:16:21.973873,broken clouds,15.09
25.44,17.94,10.21,2022-06-29 20:16:22.966239,broken clouds,15.09
25.44,17.95,10.21,2022-06-29 20:16:23.833896,broken clouds,15.09
25.44,17.99,10.21,2022-06-29 20:16:24.614352,broken clouds,15.09
25.44,17.99,10.21,2022-06-29 20:16:25.338737,broken clouds,15.09
25.44,17.92,10.21,2022-06-29 20:16:27.639967,broken clouds,15.09
25.44,17.98,10.21,2022-06-29 20:16:28.389776,broken clouds,15.09
25.44,17.99,10.21,2022-06-29 20:16:29.254742,broken clouds,15.09
25.44,17.91,10.21,2022-06-29 20:16:30.120835,broken clouds,15.09
25.44,17.95,10.21,2022-06-29 20:16:30.930329,broken clouds,15.09
25.44,17.97,10.21,2022-06-29 20:16:31.704775,broken clouds,15.09
25.44,17.91,10.21,2022-06-29 20:16:34.370769,broken clouds,15.09
25.44,17.96,10.21,2022-06-29 20:16:35.282920,broken clouds,15.09
25.44,17.99,10.21,2022-06-29 20:16:36.025904,broken clouds,15.09
25.44,17.98,10.21,2022-06-29 20:16:36.825781,broken clouds,15.09
